term,estimate,std.error,statistic,p.value
(Intercept),4490156.66,2462645.8,1.82,0.078
acreage,2594455.57,894957.2,2.9,0.007
area_square_feet,76.6,348.33,0.22,0.827
years_old,-96260.06,55046.13,-1.75,0.09
number_bedrooms,-20382.92,115109.82,-0.18,0.861
number_bathrooms,401201.01,129100.22,3.11,0.004
number_fireplaces,105433.06,151656.5,0.7,0.492
garage,-111.62,1183.96,-0.09,0.925
pool_spaNone,-169875.27,123441.45,-1.38,0.179
pool_spaPool,-94087.37,144039.02,-0.65,0.518
pool_spaSpa,448161.63,209017.4,2.14,0.04
distance_to_wetland,1668.81,547.19,3.05,0.005
in_floodplain1,-117995.55,85388.84,-1.38,0.177
